Sigla;Codice catalogo;Codice interno;Costruttore;Descrizione;Qta;Ubicazione;Quadro;Gr_Funzione;Prezzo;Sconto;Dimensioni;Foglio;Note;Note Tecniche
MCB;SCH_EL;HCABL0000000;AROL;SCHEMA ELETTRICO;1;;DHH0100;;;0.00;;57;R;
GS2;6EP1 436-3BA00;HHALIM_GS024;SIEMENS;ALIMENTATORE 3F SWITCHING 400-500V AC/24V DC 20A;1;;DHH0090;;;0.00;;12;R;
XT10;APD2525;HHBOX0_BX032;IRINOX;SCATOLA INOX 250X250X130;1;;DHH0101;;;0.00;;110;R;
XT3;APD2040;HHBOX0_BX043;IRINOX;SCATOLA INOX 200X400X150;1;;DHH0101;;;0.00;;108;R;
XT4;APD2030;HHBOX0_BX044;IRINOX;SCATOLA INOX 200X300X130;1;;DHH0101;;;0.00;;109;R;
XT7B;AP 9 20;HHBOX0_BX049;IRINOX;PULSANTIERA INOX 3 POSTI;1;;DHH0101;;;0.00;;100;R;
XT7C;AP 9 20;HHBOX0_BX049;IRINOX;PULSANTIERA INOX 3 POSTI;1;;DHH0101;;;0.00;;101;R;
XT7D;AP 9 20;HHBOX0_BX049;IRINOX;PULSANTIERA INOX 3 POSTI;1;;DHH0101;;;0.00;;104;R;
XT5;EKO 50 50 21;HHBOX0_BX077;IRINOX;CASSETTA IN ACCIAIO INOX;1;;DHH0090;;;0.00;;102;R;
XT7A;EKO 50 50 21;HHBOX0_BX077;IRINOX;CASSETTA IN ACCIAIO INOX;1;;DHH0090;;;0.00;;99;R;
MCB;AZ 100 180 40 Z200STD;HHBOX1_BX086;IRINOX;ARMADIO IN ACCIAIO INOX 1000X1800X400;1;;DHH0090;;;0.00;;97;R;
SB3;BA 2023N;HHCAVO_CV002;BACCHETTA;PROLUNGA ESTENSIBILE 5MT 3x1mm NERA;1;;DHH0101;;;0.00;;59;R;
SQ34;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0170;;;0.00;;62;R;
B1;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B12A;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;64;R;
B12B;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;64;R;
B35A;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B35B;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B35C;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B35D;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B38;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B43;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
SQ30A;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;64;R;
SQ30B;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;64;R;
B14A;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0500;;;0.00;;66;R;
B14B;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0500;;;0.00;;66;R;
B33A;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0500;;;0.00;;64;R;
B33B;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0500;;;0.00;;64;R;
B33C;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0500;;;0.00;;64;R;
B10;V90500;HHCAVO_CV037;OMRON;CAVO 4 POLI - CONNETTORE M8 - 5MT;1;;DHH0170;;;0.00;;62;R;
YV2;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0200;;;0.00;;63;R;
YV23A+;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;69;R;
YV23A-;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;69;R;
YV23B+;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;69;R;
YV23B-;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;69;R;
YV7A;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;68;R;
YV7B;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;68;R;
YV7C;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;68;R;
YV7D;E492I2N50011C4H;HHCAVO_CV053;MPM;CAVO A CONNETTORE FORMA C MICRO LED - 5MT - SMC SY;1;;DHH0210;;;0.00;;68;R;
YV0A;E472I2N50061C4H;HHCAVO_CV054;MPM;CAVO A CONNETTORE FORMA B RETTANGOLARE LED - 5MT - SMC EVT + BOSCH;1;;DHH0200;;;0.00;;61;R;
YV0B;E472I2N50061C4H;HHCAVO_CV054;MPM;CAVO A CONNETTORE FORMA B RETTANGOLARE LED - 5MT - SMC EVT + BOSCH;1;;DHH0200;;;0.00;;68;R;
YV1;E472I2N50061C4H;HHCAVO_CV054;MPM;CAVO A CONNETTORE FORMA B RETTANGOLARE LED - 5MT - SMC EVT + BOSCH;1;;DHH0210;;;0.00;;68;R;
YV1A;E472I2N50061C4H;HHCAVO_CV054;MPM;CAVO A CONNETTORE FORMA B RETTANGOLARE LED - 5MT - SMC EVT + BOSCH;1;;DHH0210;;;0.00;;68;R;
YV24;E472I2N50061C4H;HHCAVO_CV054;MPM;CAVO A CONNETTORE FORMA B RETTANGOLARE LED - 5MT - SMC EVT + BOSCH;1;;DHH0210;;;0.00;;68;R;
YV18;193695;HHCAVO_CV075;FESTO;CAVO A CONNETTORE KMYZ-3-24-5-LED-PUR-B;1;;DHH0170;;;;;63;R;
YV5;193695;HHCAVO_CV075;FESTO;CAVO A CONNETTORE KMYZ-3-24-5-LED-PUR-B;1;;DHH0170;;;;;63;R;
SQ18A;C12F8-A2-500-416;HHCAVO_CV101;MIN-TEC;CAVO 8 POLI - CONNETTORE M12 - 5MT;1;;DHH0300;;;0.00;;49;R;
SQ18B;C12F8-A2-500-416;HHCAVO_CV101;MIN-TEC;CAVO 8 POLI - CONNETTORE M12 - 5MT;1;;DHH0300;;;0.00;;49;R;
SQ12;540320;HHCAVO_CV133;PILZ;CAVO 8 POLI - CONNETTORE M12 - 10MT;1;;DHH0300;;;0.00;;41;R;
SQ13;540320;HHCAVO_CV133;PILZ;CAVO 8 POLI - CONNETTORE M12 - 10MT;1;;DHH0300;;;0.00;;41;R;
SQ14;540320;HHCAVO_CV133;PILZ;CAVO 8 POLI - CONNETTORE M12 - 10MT;1;;DHH0300;;;0.00;;41;R;
SQ15;540320;HHCAVO_CV133;PILZ;CAVO 8 POLI - CONNETTORE M12 - 10MT;1;;DHH0300;;;0.00;;42;R;
SQ16A;540320;HHCAVO_CV133;PILZ;CAVO 8 POLI - CONNETTORE M12 - 10MT;1;;DHH0300;;;0.00;;42;R;
SQ16B;540320;HHCAVO_CV133;PILZ;CAVO 8 POLI - CONNETTORE M12 - 10MT;1;;DHH0300;;;0.00;;42;R;
SQ22;540320;HHCAVO_CV133;PILZ;CAVO 8 POLI - CONNETTORE M12 - 10MT;1;;DHH0300;;;0.00;;42;R;
SB3;452-007;HHCONN_X0014;R.S.;CONNETTORE VOLANTE CIRCOLARE PLASTICO MASCHIO 4 POLI;1;;DHH0101;;;0.00;;59;R;
SB3;452-063;HHCONN_X0015;R.S.;CONNETTORE VOLANTE CIRCOLARE PLASTICO FEMMINA 4 POLI;3;;DHH0101;;;0.00;;59;R;
SB3;452-091;HHCONN_X0029;R.S.;CAPPUCCIO PER CONNETTORE;3;;DHH0101;;;0.00;;59;R;
E1C/E;1656725;HHCONN_X0077;PHOENIX CONTACT;CONNETTORE RJ45 8 POLI CONNESSIONE RAPIDA;2;;DHH0090;;;0.00;;64;R;
E1C/C;1656725;HHCONN_X0077;PHOENIX CONTACT;CONNETTORE RJ45 8 POLI CONNESSIONE RAPIDA;2;;DHH0101;;;0.00;;58;R;
E1C/D;1656725;HHCONN_X0077;PHOENIX CONTACT;CONNETTORE RJ45 8 POLI CONNESSIONE RAPIDA;2;;DHH0101;;;0.00;;62;R;
SP1;XZ-CC12FDP40B;HHCONN_XP009;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA DIRITTO;1;;DHH0200;;0.00;0.00;;60;R;
B33A;XZ-CC12FDP40B;HHCONN_XP009;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA DIRITTO;1;;DHH0500;;0.00;0.00;;64;R;
B33B;XZ-CC12FDP40B;HHCONN_XP009;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA DIRITTO;1;;DHH0500;;0.00;0.00;;64;R;
B33C;XZ-CC12FDP40B;HHCONN_XP009;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA DIRITTO;1;;DHH0500;;0.00;0.00;;64;R;
SQ37;XZ-CC12FCP40B;HHCONN_XP010;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA 90 GRADI;1;;DHH0110;;0.00;0.00;;59;R;
SQ42;XZ-CC12FCP40B;HHCONN_XP010;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA 90 GRADI;1;;DHH0110;;0.00;0.00;;59;R;
B2;XZ-CC12FCP40B;HHCONN_XP010;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA 90 GRADI;1;;DHH0120;;0.00;0.00;;58;R;
B5;XZ-CC12FCP40B;HHCONN_XP010;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA 90 GRADI;1;;DHH0120;;0.00;0.00;;58;R;
B6;XZ-CC12FCP40B;HHCONN_XP010;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA 90 GRADI;1;;DHH0120;;0.00;0.00;;58;R;
B18;XZ-CC12FCP40B;HHCONN_XP010;SCHNEIDER;CONNETTORE 4 POLI M12 FEMMINA 90 GRADI;1;;DHH0170;;0.00;0.00;;62;R;
SP1;XZ-CC12MDP40B;HHCONN_XS016;SCHNEIDER;CONNETTORE 4 POLI M12 MASCHIO DIRITTO;1;;DHH0200;;0.00;0.00;;60;R;
B33A;XZ-CC12MDP40B;HHCONN_XS016;SCHNEIDER;CONNETTORE 4 POLI M12 MASCHIO DIRITTO;1;;DHH0500;;0.00;0.00;;64;R;
B33B;XZ-CC12MDP40B;HHCONN_XS016;SCHNEIDER;CONNETTORE 4 POLI M12 MASCHIO DIRITTO;1;;DHH0500;;0.00;0.00;;64;R;
B33C;XZ-CC12MDP40B;HHCONN_XS016;SCHNEIDER;CONNETTORE 4 POLI M12 MASCHIO DIRITTO;1;;DHH0500;;0.00;0.00;;64;R;
XS0;4000-68512-00;HHCONN_XS047;MURR;FRONTALINO SINGOLO TRASPARENTE;1;;DHH0101;;;0.00;;11;R;
XS0;4000-68000-32;HHCONN_XS048;MURR;PRESA 250V 16A 2P+T;1;;DHH0101;;;0.00;;11;R;
XS0;4000-68000-90;HHCONN_XS049;MURR;RJ45 FEMMINA/FEMMINA;1;;DHH0101;;;0.00;;11;R;
SQ18A;RKCF-06-A5;HHELET_RF004;RICHO;FILTRO IN FERRITE;1;;DHH0300;;;0.00;;49;R;
SQ18B;RKCF-06-A5;HHELET_RF004;RICHO;FILTRO IN FERRITE;1;;DHH0300;;;0.00;;49;R;
YV1;EVP742-5YO-04F;HHELVA_YV043;S.M.C.;ELETTROVALVOLA 3 VIE 1/2 24VDC;1;;DHH0210;;;0.00;;68;R;
YV1A;EVP742-5YO-04F;HHELVA_YV043;S.M.C.;ELETTROVALVOLA 3 VIE 1/2 24VDC;1;;DHH0210;;;0.00;;68;R;
YV24;EVP742-5YO-04F;HHELVA_YV043;S.M.C.;ELETTROVALVOLA 3 VIE 1/2 24VDC;1;;DHH0210;;;0.00;;68;R;
YV2;SY5120-5Y0-01F;HHELVA_YV065;S.M.C.;ELETTROVALVOLA 5VIE 1/8 24VDC;1;;DHH0200;;;0.00;;63;R;
YV7A;SY5120-5Y0-01F;HHELVA_YV065;S.M.C.;ELETTROVALVOLA 5VIE 1/8 24VDC;1;;DHH0210;;;0.00;;68;R;
YV7B;SY5120-5Y0-01F;HHELVA_YV065;S.M.C.;ELETTROVALVOLA 5VIE 1/8 24VDC;1;;DHH0210;;;0.00;;68;R;
YV7C;SY5120-5Y0-01F;HHELVA_YV065;S.M.C.;ELETTROVALVOLA 5VIE 1/8 24VDC;1;;DHH0210;;;0.00;;68;R;
YV7D;SY5120-5Y0-01F;HHELVA_YV065;S.M.C.;ELETTROVALVOLA 5VIE 1/8 24VDC;1;;DHH0210;;;0.00;;68;R;
YV23A+;SY5220-5Y0-01F;HHELVA_YV149;S.M.C.;ELETTROVALVOLA 5VIE 2P 1/8 24VDC;1;;DHH0210;;;0.00;;69;R;
YV23B+;SY5220-5Y0-01F;HHELVA_YV149;S.M.C.;ELETTROVALVOLA 5VIE 2P 1/8 24VDC;1;;DHH0210;;;0.00;;69;R;
YV18;525117;HHELVA_YV253;FESTO;ELETTROVALVOLA 5 VIE 1/8;1;;DHH0170;;;0.00;;63;R;
YV5;525117;HHELVA_YV253;FESTO;ELETTROVALVOLA 5 VIE 1/8;1;;DHH0170;;;0.00;;63;R;
B38;OGH-FPKG/US;HHFOTO_B0093;IFM;FOTOCELLULA A SOPPRESSIONE DI SFONDO 24VDC - CONNETTORE M12;1;;DHH0210;;;0.00;;65;R;
B1;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;65;R;
B12A;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;64;R;
B12B;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;64;R;
B35A;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;65;R;
B35B;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;65;R;
B35C;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;65;R;
B35D;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;65;R;
B43;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0210;;;0.00;;65;R;
B14A;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0500;;;0.00;;66;R;
B14B;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0500;;;0.00;;66;R;
B33A;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0500;;;0.00;;64;R;
B33B;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0500;;;0.00;;64;R;
B33C;E39-R1;HHFOTO_B0107;OMRON;RIFLETTORE PER FOTOCELLULA;1;;DHH0500;;;0.00;;64;R;
B1;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;65;R;
B12A;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;64;R;
B12B;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;64;R;
B35A;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;65;R;
B35B;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;65;R;
B35C;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;65;R;
B35D;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;65;R;
B43;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0210;;;0.00;;65;R;
B14A;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0500;;;0.00;;66;R;
B14B;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0500;;;0.00;;66;R;
B33A;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0500;;;0.00;;64;R;
B33B;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0500;;;0.00;;64;R;
B33C;OGP-DPKG/US;HHFOTO_B0211;IFM;FOTOCELLULA A RIFLESSIONE 24VDC - CONNETTORE M12 - IMPULSO BUIO;1;;DHH0500;;;0.00;;64;R;
B10;O8H216;HHFOTO_B0268;IFM;FOTOCELLULA A SOPPRESSIONE DI SFONDO 24VDC - CONNETTORE M8;1;;DHH0170;;;0.00;;62;R;
B2;O5G500;HHFOTO_B0271;IFM;FOTOCELLULA A RIFLESSIONE 24VDC PER VETRO - CONNETTORE  M12;1;;DHH0120;;;0.00;;58;R;
B5;O5G500;HHFOTO_B0271;IFM;FOTOCELLULA A RIFLESSIONE 24VDC PER VETRO - CONNETTORE  M12;1;;DHH0120;;;0.00;;58;R;
B6;O5G500;HHFOTO_B0271;IFM;FOTOCELLULA A RIFLESSIONE 24VDC PER VETRO - CONNETTORE  M12;1;;DHH0120;;;0.00;;58;R;
B18;O5G500;HHFOTO_B0271;IFM;FOTOCELLULA A RIFLESSIONE 24VDC PER VETRO - CONNETTORE  M12;1;;DHH0170;;;0.00;;62;R;
B2;E20722;HHFOTO_B0274;IFM;RIFLETTORE PER FOTOCELLULA;1;;DHH0120;;;0.00;;58;R;
B5;E20722;HHFOTO_B0274;IFM;RIFLETTORE PER FOTOCELLULA;1;;DHH0120;;;0.00;;58;R;
B6;E20722;HHFOTO_B0274;IFM;RIFLETTORE PER FOTOCELLULA;1;;DHH0120;;;0.00;;58;R;
B18;E20722;HHFOTO_B0274;IFM;RIFLETTORE PER FOTOCELLULA;1;;DHH0170;;;0.00;;62;R;
QF2B;A9F74104;HHINTE_QF008;SCHNEIDER;INTERRUTTORE MAGNETOTERMICO C60N 1P 4A CURVA C;1;;DHH0090;;;0.00;;12;R;
QF2A;A9F79106;HHINTE_QF009;SCHNEIDER;INTERRUTTORE MAGNETOTERMICO C60N 1P 6A CURVA C;1;;DHH0090;;;0.00;;12;R;
QF11;A9F74202;HHINTE_QF011;SCHNEIDER;INTERRUTTORE MAGNETOTERMICO C60N 2P 2A CURVA C;1;;DHH0090;;;0.00;;11;R;
QF11;A9Q51225;HHINTE_QF023;SCHNEIDER;BLOCCO DIFFERENZIALE SERIE VIGI CLASSE A - 30mA;1;;DHH0090;;;0.00;;11;R;
QF1;A9F74306;HHINTE_QF147;SCHNEIDER;INTERRUTTORE MAGNETOTERMICO C60N 3P 6A CURVA C;1;;DHH0090;;;0.00;;12;R;
QM10;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;5;R;
QM11A;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;5;R;
QM11B;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;5;R;
QM13;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;4;R;
QM26;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;4;R;
QM28;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;6;R;
QM4A;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;3;R;
QM4B;GV2-ME06;HHINTP_QM006;SCHNEIDER;INTERRUTTORE TERMICO 1-1,6A;1;;DHH0090;;0.00;0.00;;3;R;
QM6;GV2-ME07;HHINTP_QM007;SCHNEIDER;INTERRUTTORE TERMICO 1,6-2,5A;1;;DHH0090;;0.00;0.00;;13;R;
QM9A;GV2-ME08;HHINTP_QM008;SCHNEIDER;INTERRUTTORE TERMICO 2,5-4A;1;;DHH0090;;0.00;0.00;;13;R;
QM9B;GV2-ME08;HHINTP_QM008;SCHNEIDER;INTERRUTTORE TERMICO 2,5-4A;1;;DHH0090;;0.00;0.00;;13;R;
QM9C;GV2-ME08;HHINTP_QM008;SCHNEIDER;INTERRUTTORE TERMICO 2,5-4A;1;;DHH0090;;0.00;0.00;;14;R;
QM8;GV2-ME10;HHINTP_QM009;SCHNEIDER;INTERRUTTORE TERMICO 4-6,3A;1;;DHH0090;;0.00;0.00;;4;R;
QM1;GV2-ME16;HHINTP_QM010;SCHNEIDER;INTERRUTTORE TERMICO 9-14A;1;;DHH0090;;0.00;0.00;;3;R;
QM1;GV-AE11;HHINTP_QM030;SCHNEIDER;CONTATTO AUSILIARIO - 2,5A - N.O. + N.C.;1;;DHH0090;;0.00;0.00;;3;R;
QM10;GV-AE11;HHINTP_QM030;SCHNEIDER;CONTATTO AUSILIARIO - 2,5A - N.O. + N.C.;1;;DHH0090;;0.00;0.00;;5;R;
QM11A;GV-AE11;HHINTP_QM030;SCHNEIDER;CONTATTO AUSILIARIO - 2,5A - N.O. + N.C.;1;;DHH0090;;0.00;0.00;;5;R;
QM11B;GV-AE11;HHINTP_QM030;SCHNEIDER;CONTATTO AUSILIARIO - 2,5A - N.O. + N.C.;1;;DHH0090;;0.00;0.00;;5;R;
QM13;GV-AE11;HHINTP_QM030;SCHNEIDER;CONTATTO AUSILIARIO - 2,5A - N.O. + N.C.;1;;DHH0090;;0.00;0.00;;4;R;
