Sigla;Codice catalogo;Codice interno;Costruttore;Descrizione;Qta;Ubicazione;Quadro;Gr_Funzione;Prezzo;Sconto;Dimensioni;Foglio;Note;Note Tecniche
E1C/C;750-600;HHPLC0_E0139;WAGO;MODULO TERMINATORE;1;;DHH0101;;;0.00;;58;R;
E1C/D;750-600;HHPLC0_E0139;WAGO;MODULO TERMINATORE;1;;DHH0101;;;0.00;;62;R;
E1C/D;750-601;HHPLC0_E0140;WAGO;MODULO DI ALIMENTAZIONE 24VDC;1;;DHH0101;;;0.00;;62;R;
E1AO;6ES7 392-1BJ00-0AA0;HHPLC0_E0163;SIEMENS;CONNETTORE A MOLLA 20 POLI PER MODULI;1;;DHH0090;;;0.00;;27;R;
E1AO;6ES7 392-1BJ00-0AA0;HHPLC0_E0163;SIEMENS;CONNETTORE A MOLLA 20 POLI PER MODULI;1;;DHH0090;;;0.00;;28;R;
E1DI;6ES7 392-1BJ00-0AA0;HHPLC0_E0163;SIEMENS;CONNETTORE A MOLLA 20 POLI PER MODULI;1;;DHH0090;;;0.00;;21;R;
E1DO;6ES7 392-1BJ00-0AA0;HHPLC0_E0163;SIEMENS;CONNETTORE A MOLLA 20 POLI PER MODULI;1;;DHH0090;;;0.00;;25;R;
E1C;6ES7 392-1BM01-0AA0;HHPLC0_E0164;SIEMENS;CONNETTORE A MOLLA 40 POLI PER MODULI;2;;DHH0090;;;0.00;;16;R;
E1C;6ES7 314-6EH04-0AB0;HHPLC0_E0368;SIEMENS;C.P.U. 314C 2PN/DP - 24 INGRESSI 16 USCITE PNP 4 INGRESSI 2 USCTE ANALOGICHE A BORDO;1;;DHH0090;;;0.00;;16;R;
E1C;6ES7 9538LJ30-0AA0;HHPLC0_E0399;SIEMENS;MEMORIA MMC 512KB PER CPU S7-300        ;1;;DHH0101;;0.00;0.00;;64;R;
E1C/B;750-370;HHPLC0_E0417;WAGO;ACCOPPIATORE PROFINET;1;;DHH0090;;;0.00;;54;R;
E1C/E;750-370;HHPLC0_E0417;WAGO;ACCOPPIATORE PROFINET;1;;DHH0090;;;0.00;;64;R;
